Player,Team,Role,Matched_Player,Suggested_Match,Match_Type,Runs,Wkts,Batting_Points,Bowling_Points,Points,snapshot_time
Ben Dwarshuis,NAKUL11,BOWL,,b sai sudharshan,no_stats_yet,0,0,0,0,0,2026-04-10T18:01:28.621713+00:00
Nandre Burger,NAKUL11,BOWL,nandre burger,,exact/alias,0,5,0,100,100,2026-04-10T18:01:28.621713+00:00
philip salt,SKY11,BAT,philip salt,,exact/alias,54,0,54,0,54,2026-04-10T18:01:28.621713+00:00
mitchell marsh,SKY11,BAT,mitchell marsh,,exact/alias,64,0,64,0,64,2026-04-10T18:01:28.621713+00:00
Rohit Sharma,SKY11,BAT,rohit sharma,,exact/alias,118,0,118,0,118,2026-04-10T18:01:28.621713+00:00
Shimron Hetmyer,SKY11,BAT,shimron hetmyer,,exact/alias,24,0,24,0,24,2026-04-10T18:01:28.621713+00:00
Manish Pandey,SKY11,BAT,,hardik pandya,no_stats_yet,0,0,0,0,0,2026-04-10T18:01:28.621713+00:00
Pathum Nissanka,SKY11,BAT,pathum nissanka,,exact/alias,86,0,86,0,86,2026-04-10T18:01:28.621713+00:00
Hardik Pandya,SKY11,AR,hardik pandya,,exact/alias,27,1,27,20,47,2026-04-10T18:01:28.621713+00:00
Jamie Overton,SKY11,AR,jamie overton,,exact/alias,80,1,80,20,100,2026-04-10T18:01:28.621713+00:00
Donavan Ferreira,SKY11,AR,donavon ferreira,,ai_structured,1,0,1,0,1,2026-04-10T18:01:28.621713+00:00
Harshal Patel,SKY11,BOWL,harshal patel,,exact/alias,4,0,0,0,0,2026-04-10T18:01:28.621713+00:00
Kartik Tyagi,SKY11,BOWL,kartik tyagi,,exact/alias,5,3,0,60,60,2026-04-10T18:01:28.621713+00:00
Lungi Ngidi,SKY11,BOWL,lungi ngidi,,exact/alias,0,5,0,100,100,2026-04-10T18:01:28.621713+00:00
vijaykumar vyshak,SKY11,BOWL,vijaykumar vyshak,,exact/alias,0,5,0,100,100,2026-04-10T18:01:28.621713+00:00
